Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy,industry_rank,descr,main_score
32,38,59,0,50,10,93,80,9,71,74,73,50,73/177,"Sinotrans Ltd is a Freight & Logistics Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",50
98,97,98,97,93,93,87,87,100,55,40,83,86,3/120,"Innolux Corp is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",83
2,0,4,0,21,0,13,13,66,41,46,55,0,278/377,"Arbutus Biopharma Corp is a Pharmaceuticals company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",23
2,0,4,0,21,0,13,13,66,41,46,55,0,278/377,"CGTEL SAPI de CV is a Pharmaceuticals company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",23
79,79,92,50,79,97,94,88,36,48,38,53,94,16/115,"Deutsche Lufthansa AG is a Passenger Transportation Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",70
45,38,34,78,64,67,45,61,91,50,58,4,75,57/152,"Cencosud SA is a Food & Drug Retailing company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",55
35,0,35,53,43,0,35,61,58,71,81,46,54,190/831,"Nemetschek SE is a Software & IT Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",55
0,0,0,0,24,0,45,44,3,35,34,60,0,24/35,"Crealogix Holding AG is a Financial Technology (Fintech) & Infrastructure company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",27
25,38,24,7,39,0,25,32,82,69,61,100,63,119/276,"Monro Inc is a Specialty Retailers company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",48
15,0,31,0,3,0,0,2,6,5,7,1,0,109/111,"GS Home Shopping Inc is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",7
15,0,31,0,3,0,0,2,6,5,7,1,0,109/111,"Automotive Holdings Group Ltd is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",7
48,35,25,81,37,59,39,34,5,48,65,13,17,71/118,"Gunze Ltd is a Textiles & Apparel company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",43
82,84,97,69,81,87,80,84,70,46,45,42,58,24/224,"Porr AG is a Construction & Engineering company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",72
0,0,0,0,23,0,34,26,22,56,63,72,0,459/831,"Digital Turbine Inc is a Software & IT Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",35
0,0,0,0,35,3,51,13,42,32,39,27,0,98/124,"Chloride Group Ltd is a Communications & Networking company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",26
