,company
510,Brenntag AG
511,Daiwa House Reit Investment Corp
512,China Everbright Water Ltd
513,Monogram Residential Trust Inc
514,Guararapes Confeccoes SA
515,Baxter International Inc
516,GLG Partners Inc
517,Mazaya Real Estate Development QPSC
518,Hitachi Cable Ltd
519,Dynavax Technologies Corp
520,Elkem ASA
521,Evry ASA
522,Tubacex SA
523,Canadian Pacific Railway Ltd
524,Pingtan Marine Enterprise Ltd
525,LeoVegas AB (publ)
526,Xinyi Glass Holdings Ltd
527,Extreme Networks Inc
528,Rohm and Haas Co
529,Quad/Graphics Inc
530,Amazon.com Inc
531,Jabil Inc
532,Solaria Energia y Medio Ambiente SA
533,China Construction Bank Corp
534,NMC Health PLC
535,Nexeo Solutions Inc
536,Danaos Corp
537,Subaru Corp
538,SVMK Inc
539,Austar United Communications Pty Ltd
540,Terumo Corp
541,RHG Pty Ltd
542,Prodigy Gold NL
543,Integra Lifesciences Holdings Corp
544,Calix Inc
545,Exponent Inc
546,Welbilt Inc
547,Posco
548,Mindray Medical International Ltd
549,Leo Group Co Ltd
550,Kinross Gold Corp
551,Sunrise Energy Metals Ltd
552,Affiliated Managers Group Inc
553,Aflac Inc
554,Ceramic Fuel Cells Ltd
555,Vista Outdoor Inc
556,Peabody Energy Corp
557,JELD-WEN Holding Inc
558,Capio AB (publ)
559,Shoprite Holdings Ltd
560,Seven Bank Ltd
561,Insurance Australia Group Ltd
562,Eckoh PLC
563,Advanced Petrochemical Co SJSC
564,Just Group PLC
565,UniFirst Corp
566,Lancashire Holdings Ltd
567,Shenzhen Kangtai Biological Products Co Ltd
568,Suruga Bank Ltd
569,International Seaways Inc
570,Vale Fertilizantes SA
571,Kingdee International Software Group Co Ltd
572,Etihad Etisalat Company SJSC
573,Juventus FC SpA
574,Delek Group Ltd
575,Vector Ltd
576,Datadog Inc
577,ZPG Ltd
578,InvoCare Ltd
579,Linx SA
580,Autogrill SpA
581,Dada Nexus Ltd
582,Indra Sistemas SA
583,Old Holdco Inc
584,Holcim Argentina SA
585,Agenus Inc
586,Granges AB
587,JKX Oil and Gas PLC
588,Berendsen Ltd
589,China Grand Automotive Services Group Co Ltd
590,Dick's Sporting Goods Inc
591,AngioDynamics Inc
592,BPIH Pty Ltd
593,Chemtrade Electrochem Inc
594,Engie Brasil Energia SA
595,Cymbria Corp
596,Nagoya Railroad Co Ltd
597,Marfin Investment Group Holdings SA
598,Coty Inc
599,St. Joe Co
600,Infineon Technologies Americas Corp
601,Moskovskaya Birzha MMVB-RTS PAO
602,Ufp Industries Inc
603,CSPC Pharmaceutical Group Ltd
604,TPI Polene Power PCL
605,Petra Diamonds Ltd
606,Zoomlion Heavy Industry Science and Technology Co Ltd
607,VIA Optronics AG
608,Choice Hotels International Inc
609,U.S. Physical Therapy Inc
610,Bank Mutual Corp
611,Illovo Sugar Ltd
612,Assa Abloy AB
613,Fidelity National Information Services Inc
614,PayPal Holdings Inc
615,Merck & Co Inc
616,Bluegreen Vacations Holding Corp
617,Saudi Basic Industries Corporation SJSC
